id,manufacturer,model,transmission,color,odometer,year,engineFuel,engineType,engineCapacity,bodyType,drivetrain,photos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
10553,Chevrolet,Cruze,automatic,black,71000,2016,gasoline,gasoline,1.4,sedan,front,9,False,False,False,False,False,False,True,True,True,True
10554,Volkswagen,T3,mechanical,red,500000,1983,gasoline,gasoline,1.8,minivan,rear,4,True,False,False,False,False,False,False,False,False,False
10555,Ford,Transit,mechanical,white,142600,2014,diesel,diesel,2.2,van,front,21,False,True,True,True,False,True,True,True,True,True
10556,Kia,Sportage,automatic,grey,121000,2013,gasoline,gasoline,2.0,suv,front,27,False,True,False,True,False,True,False,True,True,True
10557,Peugeot,407,mechanical,black,260000,2004,gasoline,gasoline,2.0,sedan,front,10,False,True,False,False,False,False,False,False,True,True
10558,Audi,A4,mechanical,black,293000,2000,diesel,diesel,1.9,universal,front,9,False,True,True,False,False,False,False,False,True,True
10559,Ford,Escort,mechanical,green,100000,1996,gasoline,gasoline,1.8,hatchback,front,12,True,False,False,False,False,False,False,False,False,False
10560,Dodge,Ram,automatic,white,116000,2010,gasoline,gasoline,5.7,pickup,all,8,False,True,False,False,True,False,False,True,True,True
10561,Volkswagen,Passat,mechanical,black,285000,2003,diesel,diesel,1.9,universal,front,9,False,True,False,False,True,True,False,False,True,True
10562,Ford,Galaxy,mechanical,blue,265000,2002,gasoline,gasoline,2.3,minivan,front,15,False,True,True,False,False,True,False,False,False,True
10563,Rover,25,mechanical,blue,240000,2002,gasoline,gasoline,1.4,hatchback,front,14,False,False,False,False,False,False,False,True,False,False
10564,Nissan,Qashqai,mechanical,silver,181000,2010,gasoline,gasoline,1.6,suv,front,9,False,True,False,False,False,True,False,True,True,True
10565,Mercedes-Benz,S320,automatic,other,330000,2000,diesel,diesel,3.2,sedan,rear,13,False,True,True,True,True,True,True,True,True,True
10566,Chevrolet,Captiva,automatic,white,146000,2013,gasoline,gasoline,2.4,suv,all,14,False,True,False,True,True,True,False,True,True,True
10567,Mercedes-Benz,C200,mechanical,black,321400,2009,gasoline,gasoline,1.8,universal,rear,11,False,True,False,True,True,True,True,True,True,True
10568,Ford,Sierra,mechanical,black,207466,1987,gasoline,gasoline,2.0,sedan,rear,5,True,False,False,False,False,False,False,False,False,False
10569,Opel,Vectra,mechanical,silver,300000,1991,diesel,diesel,1.7,sedan,front,3,True,False,False,False,False,False,False,False,False,False
10570,Renault,Scenic,mechanical,blue,290000,2000,diesel,diesel,1.9,minivan,front,5,False,True,False,False,False,False,False,False,True,False
10571,Skoda,Octavia,mechanical,grey,92000,2012,gasoline,gasoline,1.8,liftback,front,7,False,True,False,True,False,True,True,True,False,True
10572,Opel,Astra,mechanical,grey,162000,2010,diesel,diesel,1.7,universal,front,17,False,True,False,True,False,True,True,True,True,True
10573,Toyota,Avensis,mechanical,black,185000,2009,gasoline,gasoline,1.6,sedan,front,5,True,False,False,False,False,False,False,False,False,False
10574,BMW,X5,automatic,black,202334,2012,diesel,diesel,3.0,suv,all,6,False,True,True,True,True,True,True,True,True,True
10575,Audi,A6,automatic,silver,111111,1997,gasoline,gasoline,2.4,hatchback,front,5,False,False,False,False,False,False,False,False,False,True
10576,Opel,Corsa,automatic,white,63000,2013,gasoline,gasoline,1.4,hatchback,front,10,False,True,False,True,False,True,False,False,False,True
10577,Mazda,3,automatic,black,186132,2005,gasoline,gasoline,2.0,sedan,front,11,True,False,False,False,False,False,False,False,False,False
10578,Volkswagen,T5 Caravelle,automatic,black,322000,2007,diesel,diesel,2.5,minibus,front,13,False,True,True,True,False,True,False,False,True,True
10579,Audi,A4,automatic,blue,310000,2003,gasoline,gasoline,1.8,sedan,all,8,False,True,True,False,True,True,False,False,False,True
10580,Lancia,Kappa,mechanical,violet,480000,1996,diesel,diesel,2.4,sedan,front,14,True,False,False,False,False,False,False,False,False,False
10581,Mercedes-Benz,ML320,automatic,black,205303,2007,diesel,diesel,3.2,suv,all,9,False,True,True,True,True,True,True,True,True,True
10582,Toyota,Avensis,mechanical,silver,400000,2001,diesel,diesel,2.0,sedan,front,10,False,False,False,False,False,False,False,False,False,True
10583,Peugeot,406,automatic,blue,295000,2002,gasoline,gasoline,2.0,sedan,front,4,False,False,False,True,False,False,False,False,False,True
10584,Opel,Astra,mechanical,silver,181708,2008,gasoline,gasoline,1.4,hatchback,front,7,False,True,False,False,False,False,False,False,False,False
10585,Mazda,CX-7,automatic,violet,199559,2007,gasoline,gasoline,2.3,suv,front,3,True,False,False,False,False,False,False,False,False,False
10586,Opel,Zafira,mechanical,silver,406000,1999,diesel,diesel,2.0,minivan,front,29,False,True,False,False,False,False,False,False,False,True
10587,BMW,320,mechanical,silver,329500,2001,diesel,diesel,2.0,sedan,rear,8,False,True,False,False,False,False,False,False,True,True
10588,Volkswagen,Caddy,mechanical,white,185000,2012,diesel,diesel,1.6,universal,front,11,False,True,False,False,False,False,False,False,False,False
10589,Volkswagen,Passat,automatic,black,260000,2008,gasoline,gasoline,1.8,sedan,front,15,False,True,True,True,True,True,False,False,True,True
10590,Opel,Omega,mechanical,black,231232,1995,gasoline,gasoline,2.0,sedan,front,9,True,False,False,False,False,False,False,False,False,False
10591,Audi,A6,automatic,black,104800,2013,gasoline,gasoline,2.0,sedan,front,17,False,True,True,True,True,True,True,True,True,True
10592,Chevrolet,Lacetti,mechanical,black,120000,2011,gasoline,gasoline,1.6,hatchback,front,13,False,True,False,False,False,False,True,True,False,True
10593,Mitsubishi,Carisma,mechanical,red,400000,1997,gasoline,gasoline,1.8,sedan,front,4,False,False,False,True,True,False,False,True,True,True
10594,Volvo,S80,automatic,silver,220000,2008,gasoline,gasoline,2.5,sedan,front,5,False,False,True,False,True,True,False,False,False,True
10595,Skoda,Fabia,mechanical,grey,120000,2008,gasoline,gasoline,1.2,universal,front,3,True,False,False,False,False,False,False,False,False,False
10596,Honda,Civic,automatic,red,102000,2010,gasoline,gasoline,1.8,hatchback,front,7,False,True,False,True,False,True,False,True,True,True
10597,Chrysler,Sebring,automatic,silver,217261,2007,gasoline,gasoline,2.4,sedan,front,8,False,True,False,False,False,False,False,True,True,True
10598,Seat,Toledo,mechanical,red,238000,1992,gasoline,gasoline,2.0,hatchback,front,16,True,False,False,False,False,False,False,False,False,False
10599,Renault,Scenic,mechanical,silver,258086,2000,diesel,diesel,1.9,hatchback,front,10,True,False,False,False,False,False,False,False,False,False
10600,Seat,Toledo,mechanical,red,231280,1992,gasoline,gasoline,1.8,liftback,front,10,True,False,False,False,False,False,False,False,False,False
10601,Citroen,Xsara Picasso,mechanical,black,200000,2004,gasoline,gasoline,1.6,minivan,front,8,False,True,False,False,False,False,False,False,False,False
10602,Mercedes-Benz,S430,automatic,blue,248000,2001,gasoline,gasoline,4.3,sedan,rear,12,False,True,True,True,True,True,True,True,True,True
10603,Buick,Encore,automatic,black,62764,2017,gasoline,gasoline,1.4,suv,all,9,False,True,True,False,True,False,True,True,True,True
10604,Citroen,Jumpy,mechanical,white,326500,1998,diesel,diesel,1.9,minivan,front,14,True,False,False,False,False,False,False,False,False,False
10605,Hyundai,Santa Fe,automatic,white,190000,2012,diesel,diesel,2.2,suv,all,14,False,True,True,True,True,True,True,True,True,True
10606,Mazda,6,automatic,white,150000,2013,gasoline,gasoline,2.0,sedan,front,13,False,True,True,True,True,True,False,True,True,True
10607,Toyota,Corolla,mechanical,red,230000,1997,gasoline,gasoline,1.4,universal,front,13,False,True,False,False,False,False,False,False,False,False
10608,Mercedes-Benz,E240,mechanical,white,181000,1984,diesel,diesel,2.4,sedan,rear,8,False,False,False,False,True,False,False,False,False,True
10609,Opel,Astra,automatic,yellow,343880,1997,gasoline,gasoline,1.6,hatchback,front,14,True,False,False,False,False,False,False,False,False,False
10610,Opel,Astra,mechanical,white,250000,1998,gasoline,gasoline,1.4,universal,front,30,False,False,False,False,False,False,False,False,True,False
10611,Honda,Accord,mechanical,black,380000,1994,gasoline,gasoline,2.0,sedan,front,7,False,False,True,False,False,False,False,False,True,False
10612,Volkswagen,Touran,mechanical,grey,337000,2004,diesel,diesel,1.9,minivan,front,7,False,True,False,False,False,True,False,False,True,False
10613,Daewoo,Lanos,mechanical,blue,93232,2008,gasoline,gasoline,1.5,sedan,front,12,False,True,False,False,False,False,False,False,True,True
10614,Honda,Accord,mechanical,black,270000,2004,gasoline,gasoline,2.0,sedan,front,4,False,False,True,False,False,False,False,False,False,True
10615,Opel,Zafira,mechanical,blue,301500,2004,gasoline,gasoline,1.8,minivan,front,18,False,False,False,False,False,True,False,False,True,False
10616,Volkswagen,Touran,mechanical,black,170000,2011,gasoline,gasoline,1.2,minivan,front,6,False,True,False,True,False,False,True,True,True,True
10617,Peugeot,307,mechanical,silver,390000,2002,diesel,diesel,2.0,universal,front,9,False,True,False,False,False,False,False,False,False,False
10618,Chevrolet,Niva,mechanical,violet,150000,2005,gasoline,gasoline,1.7,suv,all,4,False,False,False,False,False,False,False,False,False,True
10619,Renault,Vel Satis,mechanical,grey,165000,2002,diesel,diesel,2.2,hatchback,front,5,False,True,False,False,True,True,False,False,True,False
10620,Mercedes-Benz,E220,automatic,silver,310000,2006,diesel,diesel,2.2,universal,rear,10,False,True,True,True,False,True,True,True,True,True
10621,Kia,Sorento,automatic,white,67800,2010,gasoline,gasoline,2.4,suv,front,10,False,True,False,True,False,True,False,True,True,True
10622,Skoda,Octavia,mechanical,white,49050,2017,gasoline,gasoline,1.6,liftback,front,17,False,True,False,True,False,True,False,False,True,True
10623,Honda,CR-V,automatic,black,204000,2006,gasoline,gasoline,2.0,suv,all,5,False,True,False,False,True,True,True,True,True,True
10624,Renault,Laguna,mechanical,blue,280000,2001,diesel,diesel,1.9,hatchback,front,11,False,True,False,False,True,False,False,False,True,True
10625,Peugeot,307,automatic,other,250000,2002,gasoline,gasoline,2.0,universal,front,4,False,True,False,False,False,True,False,False,False,True
10626,Audi,Q5,automatic,black,223000,2008,diesel,diesel,3.0,suv,all,6,False,True,False,True,True,True,False,True,False,True
10627,Renault,19,mechanical,black,340048,1995,gasoline,gasoline,1.8,hatchback,front,5,True,False,False,False,False,False,False,False,False,False
10628,Renault,Laguna,mechanical,other,300000,1996,gasoline,gasoline,2.0,universal,front,15,True,False,False,False,False,False,False,False,False,False
10629,Peugeot,308,automatic,blue,196000,2008,diesel,diesel,1.6,hatchback,front,2,False,False,False,False,False,False,False,False,False,True
10630,Ford,Focus,mechanical,white,270000,2003,diesel,diesel,1.8,universal,front,7,False,True,False,False,False,True,False,False,True,False
10631,Mazda,Millenia,automatic,other,289682,2001,gasoline,gasoline,2.5,sedan,front,17,False,True,True,False,True,True,False,False,True,True
10632,Volkswagen,Golf,mechanical,black,230680,2009,gasoline,gasoline,1.4,hatchback,front,17,False,True,True,True,False,True,False,False,True,False
10633,Mazda,CX-7,automatic,black,157716,2010,gasoline,gasoline,2.3,suv,front,6,False,True,False,False,True,True,False,True,True,True
10634,Subaru,Impreza,automatic,red,280000,1997,gasoline,gasoline,2.0,sedan,front,4,False,True,False,False,False,False,False,False,False,True
10635,Volkswagen,Jetta,mechanical,black,16000,2018,gasoline,gasoline,1.6,sedan,front,2,False,True,False,False,False,True,True,True,True,True
10636,Skoda,Octavia,mechanical,black,110000,2014,gasoline,gasoline,1.2,hatchback,front,14,False,False,True,True,False,True,False,True,True,True
10637,Nissan,Almera,mechanical,green,260000,2000,gasoline,gasoline,1.8,hatchback,front,4,False,True,False,False,False,False,False,False,False,False
10638,Mercedes-Benz,E230,mechanical,grey,400000,1991,gasoline,gasoline,2.3,sedan,rear,4,True,False,False,False,False,False,False,False,False,False
10639,Citroen,Berlingo,mechanical,other,302000,2008,diesel,diesel,1.6,universal,front,10,True,False,False,False,False,False,False,False,False,False
10640,Alfa Romeo,156,mechanical,blue,240000,1998,gasoline,gasoline,2.0,sedan,front,5,False,True,True,False,False,False,False,False,False,True
10641,Audi,A4,automatic,silver,277000,2001,gasoline,gasoline,2.0,sedan,front,6,False,True,False,True,False,False,False,False,True,True
10642,Daewoo,Matiz,mechanical,silver,156000,2008,gasoline,gasoline,0.8,hatchback,front,9,False,True,False,False,False,False,False,False,False,False
10643,Audi,Q5,automatic,black,130000,2012,gasoline,gasoline,2.0,suv,all,15,False,False,True,True,True,True,True,True,True,True
10644,Renault,19,mechanical,grey,240000,1992,gasoline,gasoline,1.7,hatchback,front,7,False,False,False,False,False,False,False,False,False,True
10645,Mitsubishi,ASX,automatic,blue,120000,2012,gasoline,gasoline,1.8,suv,front,7,False,True,False,True,True,True,False,False,False,True
10646,Hyundai,Tiburon,mechanical,orange,289682,2001,gasoline,gasoline,2.0,coupe,front,6,False,True,False,False,False,False,False,False,True,True
10647,Volkswagen,Caddy,mechanical,white,255000,2003,gasoline,gasoline,1.4,van,front,10,True,False,False,False,False,False,False,False,False,False
10648,Mitsubishi,Outlander,automatic,grey,105000,2016,gasoline,gasoline,2.0,suv,all,14,False,True,True,True,True,True,False,True,True,True
10649,Mercedes-Benz,C180,mechanical,black,450000,1996,gasoline,gasoline,1.8,sedan,rear,5,False,False,False,False,False,False,False,False,False,True
10650,Peugeot,306,mechanical,green,280000,2001,diesel,diesel,2.0,universal,front,5,False,True,False,False,False,True,False,False,False,False
10651,Nissan,Primera,mechanical,red,1000000,1996,diesel,diesel,2.0,hatchback,front,17,False,True,False,False,False,False,False,False,False,True
10652,Fiat,Doblo,mechanical,brown,457000,2007,diesel,diesel,1.9,minivan,front,18,False,True,False,False,False,False,False,False,False,True
10653,Volkswagen,Touran,mechanical,black,221000,2007,diesel,diesel,1.9,minivan,front,5,False,True,False,False,False,True,False,True,False,False
10654,Volvo,S80,automatic,brown,273000,2007,diesel,diesel,2.4,sedan,front,15,False,True,True,True,True,True,True,True,True,True
10655,Peugeot,307,mechanical,orange,395000,2002,diesel,diesel,2.0,universal,front,30,False,True,False,False,False,False,False,False,True,True
10656,Nissan,Qashqai,mechanical,black,200000,2008,diesel,diesel,1.5,suv,front,7,False,True,False,False,True,False,False,True,True,True
10657,Toyota,RAV4,mechanical,red,256000,1998,gasoline,gasoline,2.0,suv,all,14,False,False,False,False,False,False,False,False,False,True
10658,Volkswagen,Passat,automatic,black,240000,2007,gasoline,gasoline,2.0,sedan,front,17,False,True,False,False,True,True,False,False,True,True
10659,Peugeot,206,mechanical,white,70000,2000,diesel,diesel,1.9,hatchback,front,3,True,False,False,False,False,False,False,False,False,False
10660,Fiat,Ducato,mechanical,green,260000,1987,diesel,diesel,2.5,van,front,7,True,False,False,False,False,False,False,False,False,False
10661,Nissan,100NX,mechanical,red,245853,1992,gasoline,gasoline,1.6,sedan,front,9,True,False,False,False,False,False,False,False,False,False
10662,Peugeot,Partner,mechanical,blue,313500,2010,diesel,diesel,1.9,van,front,3,True,False,False,False,False,False,False,False,False,False
10663,Volvo,V70,automatic,silver,764823,1998,gasoline,gasoline,2.4,universal,front,10,False,True,False,False,True,False,False,False,False,True
10664,Peugeot,306,mechanical,green,250000,1999,gasoline,gasoline,1.6,cabriolet,front,13,False,False,False,False,True,False,False,False,False,True
10665,Skoda,Rapid,mechanical,silver,58000,2016,gasoline,gasoline,1.6,hatchback,front,12,False,True,False,False,False,True,False,False,True,False
10666,BMW,116,automatic,black,108000,2013,gasoline,gasoline,1.6,hatchback,rear,15,False,True,False,False,True,True,False,False,True,True
10667,Skoda,Rapid,mechanical,silver,116000,2015,gasoline,gasoline,1.6,liftback,front,2,False,True,False,True,False,True,False,False,False,True
10668,SsangYong,Actyon,mechanical,silver,169000,2011,diesel,diesel,2.0,pickup,rear,6,False,False,False,False,False,False,True,True,False,True
10669,BMW,745,automatic,black,255000,2002,gasoline,gasoline,4.4,sedan,rear,11,False,True,True,True,True,True,True,True,True,True
10670,Peugeot,405,mechanical,white,500000,1993,diesel,diesel,1.9,universal,front,5,True,False,False,False,False,False,False,False,False,False
10671,Iveco,Daily,mechanical,white,123456,1991,diesel,diesel,2.8,van,rear,2,True,False,False,False,False,False,False,False,False,False
10672,Chrysler,Grand Voyager,automatic,black,345444,1989,gasoline,gasoline,3.0,minivan,front,7,False,False,False,False,False,False,False,False,False,True
10673,Volkswagen,Golf,mechanical,silver,185124,2009,gasoline,gasoline,1.4,hatchback,front,18,False,True,False,True,False,False,False,False,True,False
10674,Volkswagen,Passat,mechanical,black,220000,2010,diesel,diesel,2.0,universal,front,9,False,True,False,True,False,True,True,True,True,True
10675,Mercedes-Benz,E220,mechanical,other,400000,2001,diesel,diesel,2.2,sedan,rear,18,False,True,False,True,True,True,False,True,False,True
10676,Subaru,Forester,mechanical,red,226800,2001,gasoline,gasoline,2.5,universal,all,18,True,False,False,False,False,False,False,False,False,False
10677,Toyota,Corolla,mechanical,white,327000,2003,gasoline,gasoline,1.4,universal,front,15,False,True,False,False,False,True,False,False,False,True
10678,Opel,Vectra,mechanical,silver,395000,2001,diesel,diesel,2.2,universal,front,8,False,True,False,False,False,False,False,True,False,True
10679,Mitsubishi,Space Star,mechanical,grey,218000,2002,gasoline,gasoline,1.3,universal,front,6,False,True,False,False,False,False,False,False,False,False
10680,Nissan,Almera,mechanical,other,250000,2003,gasoline,gasoline,1.5,sedan,front,6,False,True,False,False,False,True,False,False,False,True
10681,Hyundai,Santa Fe,automatic,other,270000,2008,diesel,diesel,2.2,suv,all,7,False,True,False,True,True,True,False,True,True,True
10682,Alfa Romeo,Brera,mechanical,red,184500,2008,diesel,diesel,2.4,coupe,front,13,False,True,True,True,True,False,False,True,True,True
10683,Fiat,Bravo,mechanical,blue,220000,1997,gasoline,gasoline,1.4,coupe,front,10,True,False,False,False,False,False,False,False,False,False
10684,Audi,100,mechanical,white,330000,1986,gasoline,gasoline,2.0,sedan,front,9,True,False,False,False,False,False,False,False,False,False
10685,Renault,Scenic,mechanical,green,320000,1998,gasoline,gasoline,1.6,minivan,front,12,False,False,False,False,False,True,False,False,False,False
10686,Audi,80,mechanical,green,290000,1992,gasoline,gasoline,2.0,sedan,front,7,False,False,False,False,False,False,False,False,False,True
10687,Ford,Mondeo,mechanical,silver,300000,1999,gasoline,gasoline,1.8,universal,front,5,False,True,False,False,False,False,False,False,False,False
10688,Mercedes-Benz,T1,mechanical,white,230000,1989,diesel,diesel,2.4,van,rear,3,True,False,False,False,False,False,False,False,False,False
10689,Honda,Legend,automatic,silver,240000,2007,gasoline,gasoline,3.5,sedan,all,20,False,False,True,False,True,True,True,True,True,True
10690,Jeep,Patriot,automatic,white,92000,2011,gasoline,gasoline,2.0,suv,front,5,False,True,False,False,False,False,False,True,True,True
10691,Opel,Vectra,mechanical,grey,240000,1996,gasoline,gasoline,1.6,hatchback,front,19,True,False,False,False,False,False,False,False,False,False
10692,Audi,A3,automatic,grey,131000,2009,gasoline,gasoline,1.4,hatchback,front,20,False,True,False,True,False,True,True,True,True,True
10693,Peugeot,405,mechanical,white,350000,1992,gasoline,gasoline,1.6,sedan,front,6,True,False,False,False,False,False,False,False,False,False
10694,LADA,XRAY,automatic,white,135000,2016,gasoline,gasoline,1.8,hatchback,front,6,False,True,False,True,False,True,False,True,True,True
10695,Audi,A6,mechanical,green,268000,1999,diesel,diesel,2.5,universal,front,8,False,True,True,False,False,True,True,False,False,True
10696,Kia,Venga,mechanical,silver,109000,2010,gasoline,gasoline,1.4,minivan,front,11,False,True,False,True,False,False,False,False,False,True
10697,Audi,A6,automatic,other,339000,2005,diesel,diesel,1.9,universal,front,12,False,False,False,True,False,False,True,True,True,True
10698,Volkswagen,Polo,mechanical,silver,220000,2003,gasoline,gasoline,1.4,hatchback,front,5,False,True,False,False,False,False,False,False,False,True
10699,Opel,Omega,mechanical,black,500000,2000,diesel,diesel,2.0,sedan,rear,4,False,True,True,False,True,False,False,False,False,True
10700,Ford,Scorpio,mechanical,blue,80000,1989,gasoline,gasoline,2.0,hatchback,rear,6,True,False,False,False,False,False,False,False,False,False
10701,Peugeot,406,mechanical,black,245000,2001,gasoline,gasoline,1.8,universal,front,19,False,True,False,False,False,False,False,False,False,True
10702,Volkswagen,Golf Plus,automatic,black,310000,2007,diesel,diesel,1.9,hatchback,front,7,False,True,False,True,True,True,False,True,True,True
10703,Volvo,C30,mechanical,black,197000,2010,diesel,diesel,1.6,hatchback,front,8,False,True,False,True,True,False,False,False,False,True
10704,Ford,Mustang,automatic,white,56327,2006,gasoline,gasoline,4.0,cabriolet,rear,7,False,False,False,False,True,False,False,False,False,True
10705,Peugeot,Boxer,mechanical,white,600000,2010,diesel,diesel,2.2,minibus,front,7,False,True,False,False,False,False,False,False,False,False
10706,BMW,525,automatic,black,285000,2008,gasoline,gasoline,2.5,sedan,rear,11,False,True,True,True,True,True,False,True,True,True
10707,Mercedes-Benz,R350,automatic,silver,150000,2005,gasoline,gasoline,3.5,minivan,all,9,False,True,True,True,True,True,True,False,True,True
10708,Ford,Escape,automatic,other,65000,2015,gasoline,gasoline,1.6,suv,all,8,False,True,False,False,True,True,True,True,True,True
10709,Ford,Focus,mechanical,white,476346,2001,diesel,diesel,1.8,universal,front,3,False,True,False,False,False,False,False,True,True,False
10710,Volkswagen,Passat,mechanical,green,316000,1996,diesel,diesel,1.9,universal,front,28,False,True,False,True,False,False,False,False,False,False
10711,Hyundai,Santa Fe,mechanical,white,75000,2008,gasoline,gasoline,2.7,suv,front,3,False,True,True,False,False,True,False,True,True,True
10712,Volkswagen,T4,mechanical,yellow,398000,1997,diesel,diesel,1.9,minibus,front,7,True,False,False,False,False,False,False,False,False,False
10713,Nissan,Terrano,mechanical,blue,280000,2001,diesel,diesel,2.7,suv,rear,13,False,False,False,False,False,False,False,False,False,True
10714,Volkswagen,T4,mechanical,white,400000,1996,gasoline,gasoline,2.0,minibus,front,17,False,False,False,False,False,False,True,True,False,True
10715,Audi,100,mechanical,blue,400000,1988,diesel,diesel,2.0,sedan,front,7,True,False,False,False,False,False,False,False,False,False
10716,Ford,Escort,mechanical,green,222222,1998,gasoline,gasoline,1.6,universal,front,9,True,False,False,False,False,False,False,False,False,False
10717,BMW,320,mechanical,blue,350000,1992,gasoline,gasoline,2.0,sedan,rear,12,False,False,True,False,True,False,False,False,False,True
10718,Audi,A3,automatic,black,160000,2010,gasoline,gasoline,1.6,hatchback,front,12,False,True,False,False,False,True,False,False,False,False
10719,Mitsubishi,Galant,mechanical,grey,230000,1996,gasoline,gasoline,2.0,sedan,front,5,False,True,False,False,False,False,False,False,False,True
10720,Citroen,Xsara,mechanical,blue,185000,2001,gasoline,gasoline,1.6,universal,front,5,False,True,False,False,False,False,False,True,True,False
10721,Peugeot,Partner,mechanical,silver,289000,2004,diesel,diesel,1.9,universal,front,7,False,True,False,False,False,False,False,False,False,False
10722,Nissan,Murano,automatic,green,181000,2005,gasoline,gasoline,3.5,suv,front,18,False,True,True,False,False,True,False,False,True,True
10723,Ford,Fusion,mechanical,silver,224520,2005,diesel,diesel,1.4,hatchback,front,15,False,True,False,False,False,False,False,False,False,True
10724,BMW,320,automatic,white,136506,2012,diesel,diesel,2.0,sedan,rear,27,False,True,False,True,True,True,False,True,True,True
10725,Mercedes-Benz,C220,automatic,grey,277000,2008,diesel,diesel,2.2,universal,rear,17,False,True,True,True,True,True,True,True,True,True
10726,Audi,100,mechanical,other,335000,1992,gasoline,gasoline,2.0,sedan,front,6,True,False,False,False,False,False,False,False,False,False
10727,Volkswagen,Passat,mechanical,red,400000,1990,gasoline,gasoline,1.8,sedan,front,4,True,False,False,False,False,False,False,False,False,False
10728,Chevrolet,Epica,automatic,grey,126000,2011,gasoline,gasoline,2.0,sedan,front,7,False,True,True,True,False,False,False,False,False,True
10729,Renault,Laguna,mechanical,silver,375000,2000,gasoline,gasoline,1.8,hatchback,front,6,False,True,False,False,False,True,False,True,True,True
10730,Hyundai,Terracan,automatic,black,205000,2005,diesel,diesel,2.9,suv,all,3,False,False,False,False,False,True,False,False,False,True
10731,Hyundai,Accent,mechanical,violet,284000,1995,gasoline,gasoline,1.3,hatchback,front,5,False,False,False,False,False,False,False,False,False,True
10732,Renault,Logan,mechanical,black,45000,2017,gasoline,gasoline,1.6,sedan,front,4,False,True,False,False,True,True,False,True,True,True
10733,BMW,525,automatic,black,420000,1998,diesel,diesel,2.5,universal,rear,14,False,True,True,True,True,True,False,True,True,True
10734,Volvo,C30,mechanical,white,97000,2010,gasoline,gasoline,1.6,hatchback,front,11,False,True,False,False,False,True,False,False,False,True
10735,Peugeot,308,automatic,other,185000,2009,gasoline,gasoline,1.6,hatchback,front,15,False,True,False,False,False,True,False,False,False,False
10736,Mazda,3,mechanical,grey,245000,2007,gasoline,gasoline,1.6,hatchback,front,13,False,True,False,False,False,True,False,False,False,False
10737,Citroen,C5,mechanical,blue,300000,2010,diesel,diesel,2.0,universal,front,10,False,True,False,True,False,True,True,True,True,True
10738,Audi,A6,automatic,silver,303000,2006,diesel,diesel,3.0,sedan,all,13,False,False,True,False,True,True,True,False,True,True
10739,Renault,Laguna,mechanical,grey,350000,2001,diesel,diesel,1.9,universal,front,6,False,True,False,False,False,False,False,False,True,True
10740,Peugeot,806,mechanical,silver,384800,1999,diesel,diesel,2.1,minivan,front,7,True,False,False,False,False,False,False,False,False,False
10741,BMW,730,automatic,black,150000,2010,diesel,diesel,3.0,sedan,rear,31,False,True,True,True,True,True,True,True,True,True
10742,Renault,Sandero,mechanical,white,143000,2013,gasoline,gasoline,1.6,hatchback,front,7,False,True,False,False,False,True,False,False,False,False
10743,Audi,A6,automatic,silver,314000,2003,diesel,diesel,1.9,sedan,front,6,False,True,False,False,True,False,False,False,True,True
10744,Mitsubishi,Lancer,mechanical,other,190000,2007,gasoline,gasoline,1.5,sedan,front,3,False,True,False,False,False,True,False,True,True,True
10745,Toyota,Avensis,mechanical,silver,240000,2005,diesel,diesel,2.2,liftback,front,13,False,True,True,False,True,False,False,False,True,True
10746,Acura,MDX,automatic,black,83000,2014,gasoline,gasoline,3.5,suv,all,11,False,True,False,True,True,True,True,True,True,True
10747,Opel,Mokka,automatic,white,62000,2013,gasoline,gasoline,1.4,suv,front,12,False,True,True,False,True,True,False,True,True,True
10748,Saab,9 - 7X,automatic,red,250000,2005,gasoline,gasoline,4.2,suv,all,6,False,True,True,False,True,True,False,False,True,True
10749,Opel,Zafira,mechanical,silver,162000,2005,gasoline,gasoline,1.6,minivan,front,11,False,True,False,False,False,False,False,True,True,True
10750,Audi,A6,automatic,blue,360000,1997,gasoline,gasoline,2.4,sedan,front,3,False,True,True,False,False,True,False,False,True,True
10751,Citroen,ZX,mechanical,blue,300000,1996,gasoline,gasoline,1.4,universal,front,1,True,False,False,False,False,False,False,False,False,False
10752,Audi,A4,automatic,grey,160000,2008,gasoline,gasoline,1.8,sedan,front,9,False,True,False,True,True,True,False,False,False,False
10753,BMW,520,mechanical,black,375000,1992,gasoline,gasoline,2.0,sedan,rear,6,False,False,False,False,False,False,False,False,False,True
10754,Renault,Laguna,mechanical,blue,222000,1999,gasoline,gasoline,1.8,hatchback,front,10,True,False,False,False,False,False,False,False,False,False
10755,Renault,Laguna,mechanical,blue,303000,2001,diesel,diesel,1.9,universal,front,9,False,True,False,False,False,False,False,False,False,True
10756,BMW,X6,automatic,white,150000,2013,diesel,diesel,3.0,suv,all,39,False,True,False,True,True,True,True,True,True,True
10757,Peugeot,307,mechanical,green,380000,2001,gasoline,gasoline,1.6,hatchback,front,7,True,False,False,False,False,False,False,False,False,False
10758,BMW,X5,mechanical,black,420000,2002,diesel,diesel,3.0,suv,all,8,False,True,True,True,True,True,True,True,True,True
10759,Toyota,RAV4,automatic,silver,321869,2003,gasoline,gasoline,2.0,suv,all,8,False,True,False,False,False,False,False,False,False,False
10760,Infiniti,FX,automatic,black,129000,2009,gasoline,gasoline,3.5,suv,all,15,False,True,True,True,True,True,False,True,True,True
